# MTH: Downloaded on 2020-09-09 from:
#
# File generated 2018-10-24 22:54 UTC
# With command line:
#  metadata_file.py -m conf/metadata_ff.conf
#  -g notes/eew/geojson2ew.d-twcs-fastlane
#  -s conf/fastlane_siteloc_20181023.txt
#  -l notes/metadata/PW-Fastlane-legend.txt
#
# URL: http://www.panga.cwu.edu/realtime/data/fastlane_sites_metadata.txt
#
# SNCL:
#    Network code 'PW' refers to CWU processing, not a merged product
#    Component codes for all channels begin with 'LY' (e.g., 'LYN')
#    Location is 00 for all channels
#
# Channels:
#    Displacement and error (sigma) values originate in meters. Correlation
#    values are unitless and range from -1 to 1. For each channel the 
#    geojson2ew plugin applies the corresponding multiplier and truncates
#    the value to an integer.
#
#    E: east/west displacement with east positive
#    N: north/south displacement with north positive
#    Z: up/down displacement with up positive. Referred to as 'U' elsewhere 
#       in configuration and EEW GeoJSON format description.
#    1: error for E channel
#    2: error for N channel
#    3: error for U channel
#    4: EN component of correlation matrix
#    5: EU component of correlation matrix
#    6: UN component of correlation matrix
#    Q: quality indicator -- integer ranging from 0 to 100
#
# Metadata fields
#    Network code  - 2 characters
#    Site code     - typically 4 characters
#    Location      - 2 digits, typically 00
#    Component     - 'LY' + channel identifier as listed above
#    Coordinates   - latitude, longitude (decimal degrees), elevation (meters)
#    Sample Rate   - in Hz
#    Multiplier    - for integer-to-float conversion
#    Units
#    'PPP'         - Fastlane computes Permanent Point Position solutions
#
PW AB18  00 LYE 66.858361 -162.613508 37.82 1 1e6 DU/M PPP
PW AB18  00 LYN 66.858361 -162.613508 37.82 1 1e6 DU/M PPP
PW AB18  00 LYZ 66.858361 -162.613508 37.82 1 1e6 DU/M PPP
PW AB18  00 LYQ 66.858361 -162.613508 37.82 1 1 - PPP
PW AB18  00 LY1 66.858361 -162.613508 37.82 1 1e6 DU/M PPP
PW AB18  00 LY2 66.858361 -162.613508 37.82 1 1e6 DU/M PPP
PW AB18  00 LY3 66.858361 -162.613508 37.82 1 1e6 DU/M PPP
PW AB18  00 LY4 66.858361 -162.613508 37.82 1 1e6 - PPP
PW AB18  00 LY5 66.858361 -162.613508 37.82 1 1e6 - PPP
PW AB18  00 LY6 66.858361 -162.613508 37.82 1 1e6 - PPP
PW AB43  00 LYE 58.198842 -136.640811 27.82 1 1e6 DU/M PPP
PW AB43  00 LYN 58.198842 -136.640811 27.82 1 1e6 DU/M PPP
PW AB43  00 LYZ 58.198842 -136.640811 27.82 1 1e6 DU/M PPP
PW AB43  00 LYQ 58.198842 -136.640811 27.82 1 1 - PPP
PW AB43  00 LY1 58.198842 -136.640811 27.82 1 1e6 DU/M PPP
PW AB43  00 LY2 58.198842 -136.640811 27.82 1 1e6 DU/M PPP
PW AB43  00 LY3 58.198842 -136.640811 27.82 1 1e6 DU/M PPP
PW AB43  00 LY4 58.198842 -136.640811 27.82 1 1e6 - PPP
PW AB43  00 LY5 58.198842 -136.640811 27.82 1 1e6 - PPP
PW AB43  00 LY6 58.198842 -136.640811 27.82 1 1e6 - PPP
PW AB44  00 LYE 59.528038 -135.228300 305.05 1 1e6 DU/M PPP
PW AB44  00 LYN 59.528038 -135.228300 305.05 1 1e6 DU/M PPP
PW AB44  00 LYZ 59.528038 -135.228300 305.05 1 1e6 DU/M PPP
PW AB44  00 LYQ 59.528038 -135.228300 305.05 1 1 - PPP
PW AB44  00 LY1 59.528038 -135.228300 305.05 1 1e6 DU/M PPP
PW AB44  00 LY2 59.528038 -135.228300 305.05 1 1e6 DU/M PPP
PW AB44  00 LY3 59.528038 -135.228300 305.05 1 1e6 DU/M PPP
PW AB44  00 LY4 59.528038 -135.228300 305.05 1 1e6 - PPP
PW AB44  00 LY5 59.528038 -135.228300 305.05 1 1e6 - PPP
PW AB44  00 LY6 59.528038 -135.228300 305.05 1 1e6 - PPP
PW AB50  00 LYE 58.416774 -134.545303 52.42 1 1e6 DU/M PPP
PW AB50  00 LYN 58.416774 -134.545303 52.42 1 1e6 DU/M PPP
PW AB50  00 LYZ 58.416774 -134.545303 52.42 1 1e6 DU/M PPP
PW AB50  00 LYQ 58.416774 -134.545303 52.42 1 1 - PPP
PW AB50  00 LY1 58.416774 -134.545303 52.42 1 1e6 DU/M PPP
PW AB50  00 LY2 58.416774 -134.545303 52.42 1 1e6 DU/M PPP
PW AB50  00 LY3 58.416774 -134.545303 52.42 1 1e6 DU/M PPP
PW AB50  00 LY4 58.416774 -134.545303 52.42 1 1e6 - PPP
PW AB50  00 LY5 58.416774 -134.545303 52.42 1 1e6 - PPP
PW AB50  00 LY6 58.416774 -134.545303 52.42 1 1e6 - PPP
PW AB53  00 LYE 56.584755 -132.867248 1016.92 1 1e6 DU/M PPP
PW AB53  00 LYN 56.584755 -132.867248 1016.92 1 1e6 DU/M PPP
PW AB53  00 LYZ 56.584755 -132.867248 1016.92 1 1e6 DU/M PPP
PW AB53  00 LYQ 56.584755 -132.867248 1016.92 1 1 - PPP
PW AB53  00 LY1 56.584755 -132.867248 1016.92 1 1e6 DU/M PPP
PW AB53  00 LY2 56.584755 -132.867248 1016.92 1 1e6 DU/M PPP
PW AB53  00 LY3 56.584755 -132.867248 1016.92 1 1e6 DU/M PPP
PW AB53  00 LY4 56.584755 -132.867248 1016.92 1 1e6 - PPP
PW AB53  00 LY5 56.584755 -132.867248 1016.92 1 1e6 - PPP
PW AB53  00 LY6 56.584755 -132.867248 1016.92 1 1e6 - PPP
PW ABMF  00 LYE 16.262306 -61.527536 -24.86 1 1e6 DU/M PPP
PW ABMF  00 LYN 16.262306 -61.527536 -24.86 1 1e6 DU/M PPP
PW ABMF  00 LYZ 16.262306 -61.527536 -24.86 1 1e6 DU/M PPP
PW ABMF  00 LYQ 16.262306 -61.527536 -24.86 1 1 - PPP
PW ABMF  00 LY1 16.262306 -61.527536 -24.86 1 1e6 DU/M PPP
PW ABMF  00 LY2 16.262306 -61.527536 -24.86 1 1e6 DU/M PPP
PW ABMF  00 LY3 16.262306 -61.527536 -24.86 1 1e6 DU/M PPP
PW ABMF  00 LY4 16.262306 -61.527536 -24.86 1 1e6 - PPP
PW ABMF  00 LY5 16.262306 -61.527536 -24.86 1 1e6 - PPP
PW ABMF  00 LY6 16.262306 -61.527536 -24.86 1 1e6 - PPP
PW AC20  00 LYE 60.929207 -149.352507 44.45 1 1e6 DU/M PPP
PW AC20  00 LYN 60.929207 -149.352507 44.45 1 1e6 DU/M PPP
PW AC20  00 LYZ 60.929207 -149.352507 44.45 1 1e6 DU/M PPP
PW AC20  00 LYQ 60.929207 -149.352507 44.45 1 1 - PPP
PW AC20  00 LY1 60.929207 -149.352507 44.45 1 1e6 DU/M PPP
PW AC20  00 LY2 60.929207 -149.352507 44.45 1 1e6 DU/M PPP
PW AC20  00 LY3 60.929207 -149.352507 44.45 1 1e6 DU/M PPP
PW AC20  00 LY4 60.929207 -149.352507 44.45 1 1e6 - PPP
PW AC20  00 LY5 60.929207 -149.352507 44.45 1 1e6 - PPP
PW AC20  00 LY6 60.929207 -149.352507 44.45 1 1e6 - PPP
PW AC44  00 LYE 61.242172 -149.567128 832.89 1 1e6 DU/M PPP
PW AC44  00 LYN 61.242172 -149.567128 832.89 1 1e6 DU/M PPP
PW AC44  00 LYZ 61.242172 -149.567128 832.89 1 1e6 DU/M PPP
PW AC44  00 LYQ 61.242172 -149.567128 832.89 1 1 - PPP
PW AC44  00 LY1 61.242172 -149.567128 832.89 1 1e6 DU/M PPP
PW AC44  00 LY2 61.242172 -149.567128 832.89 1 1e6 DU/M PPP
PW AC44  00 LY3 61.242172 -149.567128 832.89 1 1e6 DU/M PPP
PW AC44  00 LY4 61.242172 -149.567128 832.89 1 1e6 - PPP
PW AC44  00 LY5 61.242172 -149.567128 832.89 1 1e6 - PPP
PW AC44  00 LY6 61.242172 -149.567128 832.89 1 1e6 - PPP
PW AC53  00 LYE 61.768971 -150.068955 58.20 1 1e6 DU/M PPP
PW AC53  00 LYN 61.768971 -150.068955 58.20 1 1e6 DU/M PPP
PW AC53  00 LYZ 61.768971 -150.068955 58.20 1 1e6 DU/M PPP
PW AC53  00 LYQ 61.768971 -150.068955 58.20 1 1 - PPP
PW AC53  00 LY1 61.768971 -150.068955 58.20 1 1e6 DU/M PPP
PW AC53  00 LY2 61.768971 -150.068955 58.20 1 1e6 DU/M PPP
PW AC53  00 LY3 61.768971 -150.068955 58.20 1 1e6 DU/M PPP
PW AC53  00 LY4 61.768971 -150.068955 58.20 1 1e6 - PPP
PW AC53  00 LY5 61.768971 -150.068955 58.20 1 1e6 - PPP
PW AC53  00 LY6 61.768971 -150.068955 58.20 1 1e6 - PPP
PW ACSB  00 LYE 33.274265 -117.444893 -11.61 1 1e6 DU/M PPP
PW ACSB  00 LYN 33.274265 -117.444893 -11.61 1 1e6 DU/M PPP
PW ACSB  00 LYZ 33.274265 -117.444893 -11.61 1 1e6 DU/M PPP
PW ACSB  00 LYQ 33.274265 -117.444893 -11.61 1 1 - PPP
PW ACSB  00 LY1 33.274265 -117.444893 -11.61 1 1e6 DU/M PPP
PW ACSB  00 LY2 33.274265 -117.444893 -11.61 1 1e6 DU/M PPP
PW ACSB  00 LY3 33.274265 -117.444893 -11.61 1 1e6 DU/M PPP
PW ACSB  00 LY4 33.274265 -117.444893 -11.61 1 1e6 - PPP
PW ACSB  00 LY5 33.274265 -117.444893 -11.61 1 1e6 - PPP
PW ACSB  00 LY6 33.274265 -117.444893 -11.61 1 1e6 - PPP
PW ACSX  00 LYE 33.274266 -117.444893 -11.59 1 1e6 DU/M PPP
PW ACSX  00 LYN 33.274266 -117.444893 -11.59 1 1e6 DU/M PPP
PW ACSX  00 LYZ 33.274266 -117.444893 -11.59 1 1e6 DU/M PPP
PW ACSX  00 LYQ 33.274266 -117.444893 -11.59 1 1 - PPP
PW ACSX  00 LY1 33.274266 -117.444893 -11.59 1 1e6 DU/M PPP
PW ACSX  00 LY2 33.274266 -117.444893 -11.59 1 1e6 DU/M PPP
PW ACSX  00 LY3 33.274266 -117.444893 -11.59 1 1e6 DU/M PPP
PW ACSX  00 LY4 33.274266 -117.444893 -11.59 1 1e6 - PPP
PW ACSX  00 LY5 33.274266 -117.444893 -11.59 1 1e6 - PPP
PW ACSX  00 LY6 33.274266 -117.444893 -11.59 1 1e6 - PPP
PW ADIS  00 LYE 9.035137 38.766306 2439.84 1 1e6 DU/M PPP
PW ADIS  00 LYN 9.035137 38.766306 2439.84 1 1e6 DU/M PPP
PW ADIS  00 LYZ 9.035137 38.766306 2439.84 1 1e6 DU/M PPP
PW ADIS  00 LYQ 9.035137 38.766306 2439.84 1 1 - PPP
PW ADIS  00 LY1 9.035137 38.766306 2439.84 1 1e6 DU/M PPP
PW ADIS  00 LY2 9.035137 38.766306 2439.84 1 1e6 DU/M PPP
PW ADIS  00 LY3 9.035137 38.766306 2439.84 1 1e6 DU/M PPP
PW ADIS  00 LY4 9.035137 38.766306 2439.84 1 1e6 - PPP
PW ADIS  00 LY5 9.035137 38.766306 2439.84 1 1e6 - PPP
PW ADIS  00 LY6 9.035137 38.766306 2439.84 1 1e6 - PPP
PW AGGO  00 LYE -34.873713 -58.139867 42.77 1 1e6 DU/M PPP
PW AGGO  00 LYN -34.873713 -58.139867 42.77 1 1e6 DU/M PPP
PW AGGO  00 LYZ -34.873713 -58.139867 42.77 1 1e6 DU/M PPP
PW AGGO  00 LYQ -34.873713 -58.139867 42.77 1 1 - PPP
PW AGGO  00 LY1 -34.873713 -58.139867 42.77 1 1e6 DU/M PPP
PW AGGO  00 LY2 -34.873713 -58.139867 42.77 1 1e6 DU/M PPP
PW AGGO  00 LY3 -34.873713 -58.139867 42.77 1 1e6 DU/M PPP
PW AGGO  00 LY4 -34.873713 -58.139867 42.77 1 1e6 - PPP
PW AGGO  00 LY5 -34.873713 -58.139867 42.77 1 1e6 - PPP
PW AGGO  00 LY6 -34.873713 -58.139867 42.77 1 1e6 - PPP
PW AIRS  00 LYE 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LYN 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LYZ 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LYQ 16.740851 -62.213856 82.93 1 1 - PPP
PW AIRS  00 LY1 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
